,time,frame,n_pp_at_time,IDs_people,bb_people
262,0:00:14:360000,359,2,[5 6],"[308, 219, 458, 479],[409, 0, 849, 479]"
263,0:00:14:400000,360,2,[5 6],"[308, 218, 448, 479],[376, 0, 849, 479]"
264,0:00:14:440000,361,2,[5 6],"[307, 218, 439, 479],[354, 0, 834, 479]"
265,0:00:14:480000,362,2,[5 6],"[304, 216, 436, 478],[335, 0, 837, 479]"
266,0:00:14:520000,363,2,[5 6],"[296, 215, 431, 478],[355, 0, 795, 479]"
267,0:00:14:560000,364,2,[5 6],"[290, 214, 430, 477],[346, 2, 780, 479]"
268,0:00:14:600000,365,2,[5 6],"[282, 216, 428, 476],[320, 7, 756, 473]"
269,0:00:14:640000,366,2,[5 6],"[280, 218, 422, 476],[314, 5, 736, 474]"
270,0:00:14:680000,367,2,[5 6],"[276, 217, 415, 476],[313, 10, 723, 475]"
271,0:00:14:720000,368,2,[5 6],"[271, 217, 414, 475],[295, 15, 717, 470]"
272,0:00:14:760000,369,2,[5 6],"[266, 219, 416, 475],[290, 13, 703, 470]"
273,0:00:14:800000,370,2,[5 6],"[265, 221, 410, 474],[293, 6, 695, 473]"
274,0:00:14:840000,371,2,[5 6],"[261, 219, 406, 475],[287, 4, 687, 473]"
275,0:00:14:880000,372,2,[5 6],"[257, 220, 404, 476],[282, 4, 680, 472]"
276,0:00:14:920000,373,2,[5 6],"[251, 221, 402, 476],[277, 6, 672, 467]"
277,0:00:14:960000,374,2,[5 6],"[247, 221, 401, 477],[271, 4, 663, 466]"
278,0:00:15,375,2,[5 6],"[242, 221, 391, 477],[276, 2, 653, 467]"
279,0:00:15:040000,376,2,[5 6],"[236, 221, 386, 477],[271, 2, 654, 468]"
280,0:00:15:080000,377,2,[5 6],"[231, 221, 376, 477],[276, 5, 643, 471]"
281,0:00:15:120000,378,2,[5 6],"[224, 220, 372, 477],[278, 7, 636, 473]"
282,0:00:15:160000,379,2,[5 6],"[220, 220, 368, 477],[283, 6, 634, 473]"
283,0:00:15:200000,380,2,[5 6],"[218, 219, 360, 475],[275, 7, 634, 471]"
284,0:00:15:240000,381,2,[5 6],"[210, 218, 359, 477],[269, 7, 632, 472]"
285,0:00:15:280000,382,2,[5 6],"[212, 218, 344, 476],[275, 6, 621, 474]"
286,0:00:15:320000,383,2,[5 6],"[211, 217, 335, 477],[276, 3, 612, 475]"
287,0:00:15:360000,384,2,[5 6],"[208, 217, 332, 477],[273, 1, 605, 477]"
288,0:00:15:400000,385,2,[5 6],"[206, 216, 328, 477],[271, 0, 601, 479]"
289,0:00:15:440000,386,2,[5 6],"[204, 214, 326, 478],[272, 0, 596, 479]"
290,0:00:15:480000,387,2,[5 6],"[203, 214, 325, 479],[266, 0, 594, 479]"
291,0:00:15:520000,388,2,[5 6],"[199, 211, 327, 477],[251, 0, 591, 479]"
292,0:00:15:560000,389,2,[5 6],"[200, 210, 323, 477],[250, 3, 584, 476]"
293,0:00:15:600000,390,2,[5 6],"[197, 209, 322, 478],[252, 3, 581, 474]"
294,0:00:15:640000,391,2,[5 6],"[199, 208, 322, 478],[255, 3, 578, 474]"
295,0:00:15:680000,392,2,[5 6],"[194, 207, 321, 476],[250, 7, 583, 474]"
296,0:00:15:720000,393,2,[5 6],"[190, 206, 332, 474],[278, 11, 579, 474]"
297,0:00:15:760000,394,2,[5 6],"[186, 205, 362, 476],[287, 6, 580, 478]"
298,0:00:15:800000,395,2,[5 6],"[190, 206, 368, 476],[287, 3, 585, 479]"
299,0:00:15:840000,396,2,[5 6],"[196, 207, 343, 475],[287, 3, 589, 479]"
300,0:00:15:880000,397,2,[5 6],"[195, 206, 326, 475],[286, 7, 592, 479]"
301,0:00:15:920000,398,2,[5 6],"[188, 206, 321, 476],[282, 9, 597, 479]"
302,0:00:15:960000,399,2,[5 6],"[186, 208, 317, 472],[280, 4, 597, 479]"
303,0:00:16,400,2,[5 6],"[185, 208, 318, 472],[278, 2, 599, 479]"
304,0:00:16:040000,401,2,[5 6],"[184, 205, 317, 475],[273, 1, 604, 479]"
305,0:00:16:080000,402,2,[5 6],"[181, 206, 318, 472],[275, 0, 603, 479]"
306,0:00:16:120000,403,2,[5 6],"[181, 207, 317, 471],[271, 0, 608, 479]"
307,0:00:16:160000,404,2,[5 6],"[182, 210, 317, 470],[269, 0, 610, 479]"
308,0:00:16:200000,405,2,[5 6],"[182, 210, 318, 472],[269, 0, 611, 479]"
309,0:00:16:240000,406,2,[5 6],"[182, 211, 321, 472],[272, 0, 610, 477]"
310,0:00:16:280000,407,2,[5 6],"[182, 208, 327, 475],[272, 0, 608, 477]"
311,0:00:16:320000,408,2,[5 6],"[178, 207, 331, 476],[274, 0, 605, 477]"
312,0:00:16:360000,409,2,[5 6],"[171, 207, 335, 476],[273, 0, 602, 475]"
313,0:00:16:400000,410,2,[5 6],"[174, 206, 337, 477],[275, 0, 599, 476]"
314,0:00:16:440000,411,2,[5 6],"[157, 206, 341, 477],[279, 1, 599, 477]"
315,0:00:16:480000,412,2,[5 6],"[146, 206, 348, 477],[279, 1, 600, 477]"
316,0:00:16:520000,413,2,[5 6],"[148, 206, 345, 477],[281, 1, 603, 476]"
317,0:00:16:560000,414,2,[5 6],"[147, 207, 347, 477],[275, 1, 607, 476]"
318,0:00:16:600000,415,2,[5 6],"[147, 207, 348, 477],[272, 1, 611, 476]"
319,0:00:16:640000,416,2,[5 6],"[149, 207, 348, 477],[271, 0, 614, 477]"
320,0:00:16:680000,417,2,[5 6],"[152, 207, 348, 477],[273, 1, 616, 478]"
321,0:00:16:720000,418,2,[5 6],"[160, 208, 345, 477],[273, 1, 616, 477]"
322,0:00:16:760000,419,2,[5 6],"[169, 208, 342, 477],[278, 1, 612, 477]"
323,0:00:16:800000,420,2,[5 6],"[168, 208, 340, 477],[281, 2, 610, 477]"
324,0:00:16:840000,421,2,[5 6],"[164, 208, 341, 477],[287, 6, 603, 477]"
325,0:00:16:880000,422,2,[5 6],"[161, 208, 339, 477],[288, 7, 603, 476]"
326,0:00:16:920000,423,2,[5 6],"[158, 209, 341, 478],[292, 8, 600, 475]"
327,0:00:16:960000,424,2,[5 6],"[152, 208, 339, 478],[299, 6, 600, 475]"
328,0:00:17,425,2,[5 6],"[143, 208, 339, 478],[305, 5, 601, 475]"
329,0:00:17:040000,426,2,[5 6],"[144, 208, 336, 478],[330, 1, 596, 474]"
