,time,frame,n_pp_at_time,n_attentive_pp_at_time,IDs_people,IDs_attention,bb_people,bb_attention,total_pp_appear_uptotime,total_attentive_pp_appear_uptotime
128,0:00:05.520000,138,2,2,"[1, 2]","[1, 2]","[array([ 66,  49, 239, 476]), array([159, 208, 329, 477])]","[array([153,  81,  62,  62]), array([248, 263,  52,  52])]",2,2
129,0:00:05.560000,139,2,1,"[1, 2]",[1],"[array([ 70,  50, 238, 475]), array([163, 212, 325, 474])]","[array([157,  82,  62,  62])]",2,2
130,0:00:05.600000,140,2,2,"[1, 2]","[1, 2]","[array([ 74,  50, 239, 475]), array([156, 209, 334, 475])]","[array([154,  82,  62,  62]), array([262, 264,  52,  52])]",2,2
131,0:00:05.640000,141,2,2,"[1, 2]","[1, 2]","[array([ 74,  49, 242, 477]), array([156, 209, 336, 475])]","[array([161,  81,  62,  62]), array([268, 264,  52,  52])]",2,2
132,0:00:05.680000,142,2,2,"[1, 2]","[1, 2]","[array([ 75,  49, 244, 475]), array([157, 209, 336, 475])]","[array([162,  81,  62,  62]), array([271, 262,  62,  62])]",2,2
133,0:00:05.720000,143,2,1,"[1, 2]",[1],"[array([ 76,  48, 246, 476]), array([159, 211, 339, 475])]","[array([165,  86,  52,  52])]",2,2
134,0:00:05.760000,144,2,1,"[1, 2]",[1],"[array([ 77,  48, 248, 478]), array([164, 213, 347, 476])]","[array([166,  86,  52,  52])]",2,2
135,0:00:05.800000,145,2,1,"[1, 2]",[1],"[array([ 79,  48, 248, 479]), array([179, 215, 354, 476])]","[array([168,  86,  52,  52])]",2,2
136,0:00:05.840000,146,2,1,"[1, 2]",[1],"[array([ 80,  50, 249, 478]), array([193, 218, 359, 476])]","[array([160,  82,  62,  62])]",2,2
137,0:00:05.880000,147,2,1,"[1, 2]",[1],"[array([ 76,  51, 251, 475]), array([206, 219, 365, 476])]","[array([163,  83,  62,  62])]",2,2
138,0:00:05.920000,148,2,2,"[1, 2]","[1, 2]","[array([ 74,  51, 250, 477]), array([215, 217, 373, 476])]","[array([167,  83,  63,  62]), array([308, 270,  63,  62])]",2,2
139,0:00:05.960000,149,2,1,"[1, 2]",[1],"[array([ 67,  53, 252, 477]), array([217, 216, 382, 476])]","[array([167,  85,  63,  62])]",2,2
140,0:00:06,150,2,1,"[1, 2]",[1],"[array([ 62,  52, 254, 477]), array([232, 216, 387, 476])]","[array([169,  84,  63,  62])]",2,2
141,0:00:06.040000,151,2,1,"[1, 2]",[1],"[array([ 60,  51, 254, 474]), array([229, 216, 402, 476])]","[array([167,  83,  63,  62])]",2,2
142,0:00:06.080000,152,2,1,"[1, 2]",[1],"[array([ 47,  49, 258, 469]), array([235, 217, 416, 476])]","[array([168,  81,  62,  62])]",2,2
143,0:00:06.120000,153,2,1,"[1, 2]",[1],"[array([ 40,  49, 259, 470]), array([243, 218, 430, 477])]","[array([175,  81,  62,  62])]",2,2
144,0:00:06.160000,154,2,1,"[1, 2]",[1],"[array([ 40,  50, 258, 470]), array([257, 219, 429, 477])]","[array([175,  82,  62,  62])]",2,2
145,0:00:06.200000,155,2,2,"[1, 2]","[1, 2]","[array([ 44,  51, 259, 471]), array([264, 224, 438, 475])]","[array([172,  83,  62,  62]), array([371, 290,  63,  63])]",2,2
146,0:00:06.240000,156,2,1,"[1, 2]",[1],"[array([ 58,  53, 260, 471]), array([270, 227, 459, 477])]","[array([182,  85,  51,  52])]",2,2
147,0:00:06.280000,157,2,1,"[1, 2]",[1],"[array([ 68,  53, 262, 471]), array([285, 228, 462, 479])]","[array([175,  78,  63,  62])]",2,2
148,0:00:06.320000,158,2,1,"[1, 2]",[1],"[array([ 61,  53, 271, 469]), array([308, 232, 479, 477])]","[array([185,  85,  51,  52])]",2,2
149,0:00:06.360000,159,2,1,"[1, 2]",[1],"[array([ 61,  53, 272, 473]), array([323, 234, 500, 475])]","[array([182,  85,  62,  62])]",2,2
150,0:00:06.400000,160,2,1,"[1, 2]",[1],"[array([ 81,  53, 269, 476]), array([349, 232, 528, 475])]","[array([181,  85,  63,  62])]",2,2
151,0:00:06.440000,161,2,1,"[1, 2]",[1],"[array([ 86,  52, 276, 478]), array([360, 233, 539, 474])]","[array([179,  84,  63,  62])]",2,2
152,0:00:06.480000,162,2,1,"[1, 2]",[1],"[array([ 90,  52, 281, 479]), array([372, 234, 567, 474])]","[array([183,  84,  63,  62])]",2,2
153,0:00:06.520000,163,2,1,"[1, 2]",[1],"[array([ 97,  52, 283, 479]), array([380, 233, 593, 475])]","[array([184,  84,  62,  62])]",2,2
154,0:00:06.560000,164,2,1,"[1, 2]",[1],"[array([ 99,  51, 287, 479]), array([399, 230, 616, 475])]","[array([186,  83,  62,  62])]",2,2
155,0:00:06.600000,165,2,1,"[1, 2]",[1],"[array([102,  51, 290, 479]), array([422, 227, 638, 475])]","[array([189,  83,  62,  62])]",2,2
156,0:00:06.640000,166,2,1,"[1, 2]",[1],"[array([104,  50, 293, 479]), array([420, 215, 695, 474])]","[array([191,  82,  62,  62])]",2,2
157,0:00:06.680000,167,2,1,"[1, 2]",[1],"[array([105,  51, 296, 479]), array([432, 206, 705, 474])]","[array([192,  83,  62,  62])]",2,2
158,0:00:06.720000,168,2,1,"[1, 2]",[1],"[array([106,  50, 301, 479]), array([455, 200, 708, 474])]","[array([193,  82,  62,  62])]",2,2
159,0:00:06.760000,169,2,1,"[1, 2]",[1],"[array([107,  49, 303, 478]), array([504, 206, 713, 475])]","[array([194,  81,  62,  62])]",2,2
160,0:00:06.800000,170,2,1,"[1, 2]",[1],"[array([107,  49, 304, 478]), array([506, 242, 746, 475])]","[array([200,  88,  63,  62])]",2,2
161,0:00:06.840000,171,2,1,"[1, 2]",[1],"[array([108,  47, 306, 477]), array([537, 256, 758, 475])]","[array([195,  86,  62,  62])]",2,2
